player,forehand_winner_per,backhand_winner_per,forehand_unforced_error_per,backhand_unforced_error_per,net_per,net_point_direct_win_per,net_point_winning_per,net_point_error_per,passing_per,winner_per,err_per,pts_won_Ite_3_shots_per,shots_in_pts_won_per,shots_in_pts_lost_per,shots_in_won_vs_lost_ratio,inside_in_per,inside_out_per,Counter Puncher,Attacking Baseliner,All-Court Player,Solid Baseliner
Nicolas Almagro,9.57,4.68,11.0,10.63,8.58,67.55,5.34,51.51,9.98,40.23222222222223,36.24222222222223,30.1,45.13,54.87,0.85,1.69,10.01,4.093967729596853e-05,99.9323592426036,0.06759971750732985,1.0021179158422734e-07
Nicolas Escude,3.01,5.25,8.58,12.04,11.41,32.92,7.04,54.32,12.28,24.44,36.375,29.81,42.21,57.79,0.74,0.72,4.78,1.2679174920628009e-05,95.52467083988311,4.475314886763531,1.5941785089806531e-06
Nicolas Jarry,9.27,2.66,11.17,8.07,15.93,42.71,10.77,45.9,4.44,34.95666666666667,39.52666666666666,41.98,44.32,55.68,0.85,1.32,15.61,0.002576236772387311,99.99628779081233,0.0010433574268708923,9.261498846646552e-05
Nicolas Kiefer,5.45,1.44,14.13,4.74,17.07,40.15,10.08,35.13,0.0,30.236666666666668,32.59,38.04,32.13,67.87,0.48,1.18,10.62,95.93181445498215,4.06780703420558,4.459865111268157e-07,0.00037806482576676205
Nicolas Mahut,8.0,6.02,5.68,5.09,37.54,36.85,28.13,37.6,14.44,40.745,28.97,34.75,57.76,42.24,1.4,1.23,11.34,7.20310871046387e-11,0.001043658202518326,5.155022413336092e-10,99.99895634120988
Nicolas Massu,6.57,2.52,11.38,7.18,8.51,63.08,5.6,36.47,10.0,31.19,31.01,34.33,39.69,60.31,0.66,1.99,14.89,0.24723680760455127,99.75248043055328,0.0002801453876860758,2.6164543892793497e-06
Nikola Milojevic,5.03,6.46,7.62,10.68,8.23,47.72,6.6,46.71,0.0,27.845,33.379999999999995,34.03,61.84,38.16,1.82,1.12,14.95,6.470441872091125e-06,3.254639159270835,96.74535436836553,1.9216071890669213e-09
Nikolay Davydenko,6.97,4.72,8.71,7.42,9.95,58.44,6.73,44.47,11.99,28.97153846153846,33.90769230769231,31.21,51.83,48.17,1.17,1.32,8.49,2.3274309664421077e-05,99.99291558540398,0.007059144251915963,1.9960345200560976e-06
Nikoloz Basilashvili,8.21,3.79,12.45,7.37,5.87,59.23,3.83,43.19,12.63,33.42545454545455,37.62909090909091,39.25,53.57,46.43,1.2,1.66,13.54,0.003113921865049332,99.98994511338685,0.006940957261755488,7.486313968154833e-09
Noah Rubin,5.94,2.97,8.91,4.95,10.89,33.33,8.91,54.55,22.22,27.5,34.65,33.87,36.91,63.09,0.59,1.14,10.8,2.9193357059914238e-05,99.99975145056632,0.00017660710069059463,4.274897598093606e-05
Norbert Gombos,7.02,1.75,10.53,4.39,3.51,100.0,1.75,50.0,0.0,23.08,31.58,38.68,51.76,48.24,1.07,0.47,6.05,0.0001918359594774227,99.98402425473543,0.015783900843044207,8.462036198127203e-09
Novak Djokovic,7.93,4.1,7.58,7.9,11.56,55.27,8.01,45.17,11.59,28.40576923076923,34.14119658119658,33.94,54.88,45.12,1.31,1.12,10.97,2.818025569620951e-06,99.9902651119707,0.009723772210153123,8.297793585472749e-06
Oscar Otte,10.26,5.77,6.41,6.41,20.51,80.95,13.46,34.38,15.38,45.71,23.72,43.59,51.4,48.6,1.06,1.05,8.42,3.419586560702747e-06,99.68577850968556,0.00036047258033551735,0.3138575981474994
Pablo Andujar,10.4,5.25,8.19,4.56,13.19,61.05,9.97,38.12,16.71,33.556666666666665,27.263333333333332,28.2,51.7,48.3,1.12,0.85,10.57,0.0003022903715791013,99.99873643595096,1.6179050811573237e-05,0.0009450946267410136
Pablo Carreno Busta,9.77,3.2,7.67,7.69,7.42,65.22,4.98,47.95,12.1,30.82454545454545,31.972727272727276,30.93,50.75,49.25,1.07,1.82,10.75,9.433971223744258e-07,99.9986589807552,0.0013396855824517476,3.9026517729016346e-07
Pablo Cuevas,6.09,3.14,7.78,4.69,7.2,57.98,5.21,47.86,25.1,24.745,34.10999999999999,36.7,52.06,47.94,1.12,1.68,13.84,3.583647871976473e-07,99.9994422853549,0.0005569619309427737,3.943493922156971e-07
Paolo Lorenzi,4.76,4.58,7.07,6.09,10.87,49.84,7.83,48.29,9.52,29.89,25.05666666666667,47.42,54.59,45.41,1.26,0.42,11.22,5.8457548428701046e-05,91.76490526031857,8.235019584585144,1.6697547715371212e-05
Pat Cash,8.58,7.11,3.89,6.59,46.28,28.63,32.46,26.62,7.98,34.64666666666667,31.07333333333333,35.37,52.64,47.36,1.14,0.4,9.08,2.698330538555027e-13,1.1967554307620343e-06,1.2677466878999716e-14,99.99999880324425
Patrick Rafter,8.62,6.38,4.14,5.97,50.35,33.08,31.99,26.6,10.74,38.34684210526316,29.02157894736841,44.09,53.26,46.74,1.22,0.6,5.87,8.316574030337739e-15,5.92907542579737e-08,4.827245417440153e-16,99.9999999407093
Paul Henri Mathieu,6.24,5.83,7.01,10.38,6.41,54.17,4.49,44.44,17.39,31.03,34.89666666666667,43.5,45.72,54.28,0.85,2.83,13.27,7.310442738611979e-07,99.48800583313206,0.5119934292653243,6.558203087691629e-09
Pedja Krstin,2.73,3.64,3.64,6.36,5.45,50.0,3.64,66.67,0.0,18.03,24.55,31.88,56.36,43.64,1.29,0.73,9.12,3.8440531172279953e-10,4.093036309290771,95.90696368441549,5.9092555549090975e-09
Pedro Cachin,7.23,3.5,6.67,8.55,8.65,68.34,7.16,43.56,11.69,26.215,30.355,35.82,53.63,46.37,1.27,0.76,7.04,1.5868547210327336e-06,99.98120442093892,0.01879077147678008,3.220729586852343e-06
Pedro Martinez,7.98,1.84,9.2,7.98,14.11,29.41,10.43,47.83,11.76,22.67,30.67,33.46,45.91,54.09,0.85,2.62,16.85,0.010391640220759515,99.98800979632404,0.0010131852278660398,0.0005853782273433013
Pedro Sousa,10.0,8.0,14.0,12.0,10.0,100.0,5.0,40.0,14.29,48.78,36.0,21.18,46.23,53.77,0.86,0.0,5.63,0.004533931150836703,99.96580744539607,0.029658431350808517,1.9210230814234464e-07
Pete Sampras,8.53,5.93,5.27,6.7,35.56,33.07,24.48,28.58,13.52,41.07402173913047,30.772391304347817,44.96,53.27,46.73,1.19,1.93,9.22,3.918546832343812e-09,0.0660321597913059,4.52778107062353e-09,99.93396783176242
Peter Gojowczyk,7.19,4.06,10.28,6.98,9.01,52.84,6.44,47.92,7.16,33.5225,34.122499999999995,41.96,48.34,51.66,1.0,0.74,9.08,0.00038148316031728436,99.94992092680022,0.04969713465468978,4.5538483698805685e-07
Petr Korda,11.53,5.18,10.78,9.39,18.25,53.71,10.73,46.25,17.95,37.934000000000005,35.528,29.33,54.76,45.24,1.29,0.94,10.14,0.0001502024422047212,99.99768481268356,0.0009196524715963464,0.0012453324026840376
Philipp Kohlschreiber,8.13,4.41,7.95,7.23,7.54,73.21,4.96,36.96,12.01,30.23,31.94346153846153,37.6,49.7,50.3,1.06,1.65,12.46,3.143087683482263e-05,99.99837454810002,0.0015937940923509352,2.2693073763921498e-07
Pierre Hugues Herbert,8.78,4.14,7.52,5.51,20.47,58.99,14.18,27.61,25.98,38.9975,28.635,40.24,52.08,47.92,1.22,1.12,9.83,3.1150706826333965e-05,99.04394165336906,7.331422654324541e-07,0.956026462781848
Prajnesh Gunneswaran,8.7,1.27,10.26,4.78,8.52,46.66,4.86,58.93,9.47,26.59,28.57,48.19,47.92,52.08,0.92,1.37,17.36,0.0032179821356039646,99.87762725045228,0.11915397588243867,7.915295186870295e-07
Radek Stepanek,8.2,4.4,6.01,7.96,31.68,45.71,19.38,42.77,10.51,33.854,32.721999999999994,35.32,45.61,54.39,0.86,0.24,9.24,8.109290462092468e-08,5.266817255887303,5.722691590892706e-06,94.73317694032815
Radu Albot,5.89,2.29,7.46,7.69,13.38,47.21,9.84,52.37,9.68,20.10666666666667,31.175,31.51,49.7,50.3,1.07,2.24,12.07,3.2976275551279816e-05,99.9716130753479,0.028108208571149446,0.00024573980536794434
Rafael Nadal,9.14,3.36,7.13,5.71,8.46,63.11,6.4,38.66,15.2,26.969439655172412,30.322025862068976,29.73,55.3,44.7,1.35,2.68,10.35,7.148483335567164e-06,99.99995022816618,3.813567716536709e-05,4.4876733199742816e-06
Reilly Opelka,7.52,4.36,9.27,5.65,8.76,68.29,5.76,37.87,15.7,51.215,29.86,70.18,45.98,54.02,0.88,1.28,17.47,3.618183649825255e-05,99.83087747658679,0.16908616825101877,1.7332561537430252e-07
Renzo Olivo,4.37,2.48,14.16,8.63,6.1,40.0,3.28,60.84,2.63,17.189999999999998,37.64,23.93,42.51,57.49,0.75,2.48,14.72,3.084981374282711,95.08962559466538,1.8253930208783398,1.017345571792711e-08
Ricardas Berankis,9.32,3.74,7.76,9.84,14.52,52.02,8.92,56.36,6.67,32.704,34.646,33.44,54.51,45.49,1.25,0.81,11.52,3.6772997400267385e-07,99.50531327089912,0.49465088908894755,3.5472281985664225e-05
Ricardo Hocevar,4.76,2.86,11.43,10.48,4.76,66.67,2.86,40.0,28.57,20.0,28.57,32.51,40.91,59.09,0.69,1.77,12.39,0.21646801493873927,99.77726033985817,0.0062715243253202765,1.2087783381146175e-07
Richard Gasquet,5.28,4.74,5.98,6.72,11.49,55.39,7.39,42.09,12.71,27.090909090909086,27.260606060606055,34.42,47.34,52.66,1.0,0.18,6.57,6.440908294175002e-06,99.98796653425626,0.011953840335073239,7.318450041037938e-05
Richard Krajicek,9.99,6.14,4.51,5.5,44.04,35.27,29.0,26.28,8.73,47.06666666666667,26.85333333333333,49.69,53.73,46.27,1.2,3.07,11.17,4.0967602426864185e-12,2.3304114696026435e-05,6.927740513046336e-13,99.99997669588053
Roberto Bautista Agut,9.0,2.13,6.89,7.17,8.89,60.28,6.56,41.21,14.16,26.438888888888886,29.78055555555555,38.83,49.61,50.39,1.07,2.49,12.39,8.890997415518834e-06,99.99978197116609,0.00020449665241409267,4.641184082543047e-06
Robin Haase,7.17,3.57,7.48,6.98,10.18,62.59,7.44,36.58,10.64,31.204375,30.474375,35.98,47.45,52.55,0.98,1.3,13.78,5.474125907733881e-05,99.99916074653677,0.0007714850737623771,1.3027130371713685e-05
Robin Soderling,8.52,3.76,10.22,8.89,13.38,68.29,8.72,44.07,15.29,33.24333333333334,38.25666666666667,29.2,47.7,52.3,1.0,1.8,15.39,4.736622540152241e-05,99.99914535799562,0.0007877278690949768,1.9547909830705666e-05
Roger Federer,9.49,4.58,8.26,7.4,16.6,55.22,11.81,38.83,15.65,35.10794444444445,34.06447222222224,38.31,54.21,45.79,1.26,2.16,10.35,1.182136265135466e-05,99.99877157674152,0.00016705410098176687,0.0010495477949068865
Ruben Ramirez Hidalgo,8.26,1.83,12.84,11.93,4.59,100.0,2.75,40.0,11.11,37.21,36.7,21.08,41.41,58.59,0.71,0.81,6.45,0.0004852760677995796,99.99931229048902,0.00020239988432048628,3.355902441911393e-08
Ryan Harrison,3.44,3.37,7.68,3.81,7.14,57.5,3.1,73.22,4.35,29.19,25.255000000000003,48.08,48.63,51.37,0.96,1.62,14.5,2.654033493422401e-08,1.2780528249265666,98.72194714736257,1.1706018082992332e-09
Sam Querrey,7.02,3.12,7.89,6.29,9.63,60.01,5.35,48.7,8.87,39.313750000000006,32.4275,52.1,44.54,55.46,0.82,1.6,10.53,6.270183497218959e-07,99.95893273177575,0.04106608165397344,5.595519478946337e-07
Samuel Groth,4.81,3.8,4.6,2.64,45.39,25.14,30.55,25.34,1.08,38.38,31.095,54.76,43.72,56.28,0.78,0.0,8.3,7.536978848371709e-13,1.6969525567544394e-06,4.034546007870924e-15,99.99999830304668
Sanam Singh,4.71,3.53,8.24,8.24,12.94,60.0,5.88,45.45,5.0,28.57,31.76,37.26,29.79,70.21,0.42,0.0,14.63,0.002508666411658703,99.90048205374359,0.09698351621958144,2.57636250661046e-05
Santiago Giraldo,5.36,4.76,10.78,10.68,6.02,27.78,3.32,39.16,0.0,24.385,36.76,21.9,49.44,50.56,1.05,1.94,13.08,0.07719030905755642,99.83495426716941,0.0878554135311273,1.0241921367406898e-08
Scott Griekspoor,2.33,4.65,12.79,11.63,10.47,50.0,4.65,77.78,0.0,22.58,38.37,34.52,39.78,60.22,0.66,0.44,9.21,1.5165692494750444e-06,0.03385513883298067,99.9661433445889,8.85901196793667e-12
Sebastian Baez,10.74,4.43,8.66,7.6,7.63,64.02,5.69,35.19,15.91,30.836666666666662,31.92333333333333,27.14,55.69,44.31,1.28,4.98,7.77,3.954533405343454e-05,99.99995106904566,8.928189647244435e-06,4.574306357944792e-07
Sebastien Grosjean,9.3,2.98,9.64,6.33,14.96,54.65,8.96,46.64,4.39,33.99,30.4225,37.04,47.78,52.22,0.94,3.83,16.06,0.002190661984602316,99.99506607942465,0.0025582305463713105,0.00018502804444392386
Sergi Bruguera,7.42,5.03,5.93,8.17,10.3,52.08,6.95,45.61,12.29,29.740909090909096,28.019090909090902,27.83,49.04,50.96,1.0,1.83,10.13,1.5778486087825688e-06,99.98342542296852,0.016560992650949912,1.2006531997721048e-05
